date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:17:27	37045/37045	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/js/bootstrap.min.js	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/js/bootstrap.min.js	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:17:28	22381/22381	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/js/script.js	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/js/script.js	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:17:29	127597/127597	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/gallery/img-8.jpg	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/images/gallery/img-8.jpg	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:17:30	97166/97166	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/js/jquery.min.js	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/js/jquery.min.js	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:17:38	274873/274873	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/js/jquery-plugin-collection.js	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/js/jquery-plugin-collection.js	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/index-8.html)
13:17:40	76518/76518	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/fonts/fontawesome-webfont.eot?v=4.6.3	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/fonts/fontawesome-webfont5b62.eot	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/font-awesome.min.css)
13:17:41	76518/76518	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/fonts/fontawesome-webfontd41d.eot	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/font-awesome.min.css)
13:17:42	71896/71896	---M--	200	added ('OK')	font/woff2	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/fonts/fontawesome-webfont.woff2?v=4.6.3	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/fonts/fontawesome-webfont5b62.woff2	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/font-awesome.min.css)
13:17:47	391622/391622	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/fonts/fontawesome-webfont.svg?v=4.6.3	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/fonts/fontawesome-webfont5b62.svg	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/font-awesome.min.css)
13:17:47	9306/9306	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2018%20Aug%202021%2002:15:32%20GMT	http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/fonts/Flaticon.eot	C:/My%20Web%20Sites/wedding/irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/fonts/Flaticon.eot	(from http://irsfoundation.com/tf/templates/wedding/lovely-wedding/lovely-wedding/css/flaticon.css)
